Internal ID,Display In Parent Item Lookup,Base Price,Bid Price,MSRP
29329,Yes,29.99,10.00,
29333,Yes,29.99,1.00,149.99
29339,Yes,42.99,10.75,
29343,Yes,29.99,1.00,62.50
29351,Yes,19.99,2.00,49.99
29357,Yes,29.99,3.00,99.99
29363,Yes,29.99,3.00,99.99
29381,Yes,59.99,6.00,299.99
29382,Yes,29.99,3.00,299.99
29387,Yes,29.99,1.00,299.99
29388,Yes,29.99,3.00,299.99
29392,Yes,99.99,27.00,399.99
29347,Yes,29.99,6.00,
29327,Yes,59.99,16.00,299.99
29336,Yes,29.99,4.00,179.99
29340,Yes,39.99,11.00,99.99
29352,Yes,74.99,7.50,99.99
29358,Yes,99.99,40.00,
29362,Yes,29.99,1.00,49.99
29368,Yes,39.99,4.00,99.99
29394,Yes,69.99,19.00,399.99
29412,Yes,29.99,1.00,299.99
29399,Yes,59.99,9.00,399.99
29400,Yes,59.99,6.00,249.99
29406,Yes,59.99,9.00,299.99
29418,Yes,29.99,1.00,299.99
29424,Yes,59.99,12.00,299.99
29430,Yes,69.99,20.00,399.99
29436,Yes,99.99,20.00,299.99
29423,Yes,79.99,12.00,369.99
29405,Yes,39.99,4.00,299.99
29411,Yes,29.99,1.00,299.99
29417,Yes,29.99,1.00,299.99
29429,Yes,79.99,26.00,299.99
29435,Yes,99.99,27.00,299.99
29442,Yes,49.99,8.00,
29441,Yes,129.99,42.00,299.99
29328,Yes,49.99,10.00,199.99
29334,Yes,19.99,2.00,99.99
29359,Yes,29.99,1.00,99.99
29341,Yes,39.99,11.00,99.99
29348,Yes,29.99,1.00,62.50
29353,Yes,29.99,3.00,64.99
29365,Yes,49.99,2.00,99.99
29383,Yes,29.99,4.00,299.99
29389,Yes,29.99,1.00,299.99
29396,Yes,59.99,19.00,399.99
29402,Yes,59.99,9.00,299.99
29408,Yes,59.99,6.00,299.99
29414,Yes,29.99,3.00,299.99
29437,Yes,79.99,26.00,299.99
29419,Yes,29.99,1.00,299.99
29425,Yes,69.99,10.00,349.99
29431,Yes,79.99,20.00,249.99
29443,Yes,59.99,19.00,169.99
29338,Yes,49.99,10.00,129.99
29325,Yes,39.99,6.00,
29331,Yes,29.99,4.00,169.99
29345,Yes,69.99,3.00,99.99
29349,Yes,29.99,3.00,
29355,Yes,59.99,4.00,99.99
29361,Yes,29.99,3.00,99.99
29379,Yes,29.99,1.00,299.99
29385,Yes,79.99,16.00,199.99
29446,Yes,29.99,3.00,149.99
29453,Yes,29.99,4.00,169.99
29459,Yes,39.99,8.00,199.99
29465,Yes,29.99,4.00,179.99
29472,Yes,19.99,3.00,149.99
29478,Yes,29.99,6.00,199.99
29484,Yes,29.99,8.00,199.99
29491,Yes,39.99,13.00,199.99
29403,Yes,69.99,3.00,299.99
29391,Yes,99.99,20.00,199.99
29398,Yes,59.99,9.00,299.99
29410,Yes,29.99,1.00,299.99
29416,Yes,29.99,1.00,299.99
29422,Yes,49.99,10.00,369.99
29428,Yes,79.99,16.00,379.99
29433,Yes,69.99,19.00,299.99
29440,Yes,79.99,22.00,
29497,Yes,39.99,10.00,
29445,Yes,29.99,4.00,149.99
29451,Yes,29.99,10.00,199.99
29457,Yes,29.99,4.00,149.99
29463,Yes,29.99,3.00,149.99
29469,Yes,49.99,5.00,269.99
29476,Yes,29.99,8.00,199.99
29481,Yes,49.99,15.00,299.99
29487,Yes,59.99,22.00,249.99
29493,Yes,39.99,6.00,
29499,Yes,29.99,4.00,149.99
29346,Yes,29.99,1.00,49.99
29330,Yes,19.99,2.00,179.99
29335,Yes,49.99,13.00,99.99
29342,Yes,42.99,10.75,
29354,Yes,109.99,40.00,
29360,Yes,64.99,7.00,85.99
29366,Yes,39.99,4.00,99.99
29377,Yes,39.99,2.00,299.99
29384,Yes,29.99,1.00,299.99
29390,Yes,99.99,27.00,299.99
29395,Yes,49.99,7.00,
29401,Yes,29.99,3.00,299.99
29407,Yes,29.99,1.00,299.99
29413,Yes,29.99,1.00,299.99
29420,Yes,59.99,9.00,299.99
29426,Yes,89.99,13.00,299.99
29432,Yes,49.99,16.00,299.99
29438,Yes,109.99,30.00,
29444,Yes,79.99,22.00,
29447,Yes,49.99,5.00,149.99
29473,Yes,39.99,5.00,129.99
29454,Yes,29.99,3.00,169.99
29461,Yes,49.99,10.00,229.99
29466,Yes,19.99,2.00,179.99
29479,Yes,29.99,6.00,199.99
29489,Yes,39.99,13.00,229.99
29495,Yes,39.99,10.00,
29326,Yes,29.99,5.00,
29332,Yes,39.99,13.00,299.99
29337,Yes,42.99,10.75,
29344,Yes,49.99,2.00,62.50
29350,Yes,39.99,4.00,99.99
29356,Yes,69.99,10.00,99.99
29364,Yes,34.99,4.00,99.99
29380,Yes,29.99,1.00,299.99
29386,Yes,59.99,19.00,299.99
29393,Yes,99.99,27.00,
29397,Yes,29.99,3.00,299.99
29421,Yes,69.99,14.00,299.99
29404,Yes,69.99,7.00,299.99
29409,Yes,29.99,1.00,299.99
29415,Yes,69.99,14.00,399.99
29427,Yes,79.99,20.00,299.99
29434,Yes,79.99,25.00,399.99
29439,Yes,49.99,13.00,
29448,Yes,19.99,2.00,99.99
29452,Yes,29.99,4.00,
29458,Yes,29.99,5.00,149.99
29464,Yes,19.99,2.00,149.99
29470,Yes,29.99,5.00,
29475,Yes,19.99,3.00,149.99
29482,Yes,49.99,16.00,199.99
29488,Yes,59.99,19.00,199.99
29500,Yes,49.99,13.00,
29468,Yes,19.99,3.00,149.99
29450,Yes,29.99,3.00,149.99
29456,Yes,39.99,11.00,199.99
29462,Yes,39.99,5.00,179.99
29474,Yes,29.99,4.00,269.99
29480,Yes,29.99,8.00,299.99
29492,Yes,99.99,30.00,199.99
29498,Yes,39.99,8.00,
29449,Yes,39.99,8.00,149.99
29455,Yes,69.99,10.00,199.99
29477,Yes,59.99,12.00,299.99
29460,Yes,29.99,8.00,229.99
29467,Yes,9.99,1.00,149.99
29471,Yes,29.99,8.00,229.99
29483,Yes,79.99,22.00,299.99
29490,Yes,39.99,15.00,199.99
29496,Yes,39.99,11.00,
6,No,,,
29486,No,999.99,.01,
29375,No,999.99,.01,
29376,No,999.99,.01,
22,No,,,
29372,No,999.99,.01,
29378,No,999.99,.01,
29367,No,999.99,.01,
29373,No,999.99,.01,
29371,No,999.99,.01,
29485,No,999.99,.01,
29369,No,999.99,.01,
29374,No,999.99,.01,
29370,No,999.99,.01,
29494,,,,
